Country,Total_inventorie,Year,GreenInventory
Austria,306660000,1990,19980000
Cyprus,14520000,1990,600000
Denmark,160200000,1990,5340000
Finland,219120000,1990,10560000
France,843120000,1990,34380000
Germany,5179440000,1990,240000000
Ireland,6540000,1990,0
Italy,523440000,1990,12900000
Netherlands,1418460000,1990,105120000
Portugal,221460000,1990,4080000
Spain,865440000,1990,12000000
Sweden,156600000,1990,5220000
Japan,3369300000,1990,90000000
Norway,223200000,1990,7440000
Switzerland,398100000,1990,19260000
United Kingdom,186120000,1990,11340000
United States of America,8984400000,1990,358920000
Unspecified EU stocks,9457860000,1990,145980000
Austria,306660000,1991,19980000
Cyprus,14520000,1991,720000
Denmark,160200000,1991,5340000
Finland,219120000,1991,13380000
France,843120000,1991,33720000
Germany,5179440000,1991,96000000
Ireland,6540000,1991,0
Italy,523440000,1991,11340000
Netherlands,1418460000,1991,105120000
Portugal,221460000,1991,8580000
Spain,865440000,1991,15000000
Sweden,156600000,1991,5220000
Japan,3369300000,1991,70020000
Norway,223200000,1991,7440000
Switzerland,398100000,1991,21060000
United Kingdom,186120000,1991,10080000
United States of America,8984400000,1991,369000000
Unspecified EU stocks,9457860000,1991,165480000
Austria,306660000,1992,22020000
Cyprus,14520000,1992,600000
Denmark,160200000,1992,5340000
Finland,219120000,1992,12780000
France,843120000,1992,32220000
Germany,5179440000,1992,150000000
Ireland,6540000,1992,0
Italy,523440000,1992,11220000
Netherlands,1418460000,1992,62880000
Portugal,221460000,1992,7260000
Spain,865440000,1992,19980000
Sweden,156600000,1992,5220000
Japan,3369300000,1992,79980000
Norway,223200000,1992,7440000
Switzerland,398100000,1992,18120000
United Kingdom,186120000,1992,10200000
United States of America,8984400000,1992,565320000
Unspecified EU stocks,9457860000,1992,149100000
Austria,306660000,1993,19980000
Cyprus,14520000,1993,480000
Denmark,160200000,1993,5340000
Finland,219120000,1993,11280000
France,843120000,1993,23340000
Germany,5179440000,1993,120000000
Ireland,6540000,1993,0
Italy,523440000,1993,13680000
Netherlands,1418460000,1993,42420000
Portugal,221460000,1993,13200000
Spain,865440000,1993,15000000
Sweden,156600000,1993,5220000
Japan,3369300000,1993,75000000
Norway,223200000,1993,7440000
Switzerland,398100000,1993,19620000
United Kingdom,186120000,1993,12240000
United States of America,8984400000,1993,468840000
Unspecified EU stocks,9457860000,1993,115200000
Austria,306660000,1994,16980000
Cyprus,14520000,1994,780000
Denmark,160200000,1994,5340000
Finland,219120000,1994,16920000
France,843120000,1994,28860000
Germany,5179440000,1994,234000000
Ireland,6540000,1994,0
Italy,523440000,1994,13320000
Netherlands,1418460000,1994,42420000
Portugal,221460000,1994,9540000
Spain,865440000,1994,16020000
Sweden,156600000,1994,5220000
Japan,3369300000,1994,88020000
Norway,223200000,1994,7440000
Switzerland,398100000,1994,17160000
United Kingdom,186120000,1994,12780000
United States of America,8984400000,1994,245220000
Unspecified EU stocks,9457860000,1994,127320000
Austria,306660000,1995,16440000
Cyprus,14520000,1995,780000
Denmark,160200000,1995,5340000
Finland,219120000,1995,13200000
France,843120000,1995,18060000
Germany,5179440000,1995,138000000
Ireland,6540000,1995,0
Italy,523440000,1995,13020000
Netherlands,1418460000,1995,42420000
Portugal,221460000,1995,5160000
Spain,865440000,1995,17040000
Sweden,156600000,1995,5220000
Japan,3369300000,1995,49980000
Norway,223200000,1995,7440000
Switzerland,398100000,1995,11580000
United Kingdom,186120000,1995,11220000
United States of America,8984400000,1995,119400000
Unspecified EU stocks,9457860000,1995,82860000
Austria,306660000,1996,14760000
Cyprus,14520000,1996,720000
Denmark,160200000,1996,5340000
Finland,219120000,1996,8400000
France,843120000,1996,15960000
Germany,5179440000,1996,96000000
Ireland,6540000,1996,0
Italy,523440000,1996,13380000
Netherlands,1418460000,1996,42420000
Portugal,221460000,1996,6900000
Spain,865440000,1996,18180000
Sweden,156600000,1996,5220000
Japan,3369300000,1996,58980000
Norway,223200000,1996,7440000
Switzerland,398100000,1996,8400000
United Kingdom,186120000,1996,7920000
United States of America,8984400000,1996,79620000
Unspecified EU stocks,9457860000,1996,73320000
Austria,306660000,1997,13860000
Cyprus,14520000,1997,360000
Denmark,160200000,1997,5340000
Finland,219120000,1997,10860000
France,843120000,1997,19020000
Germany,5179440000,1997,114000000
Ireland,6540000,1997,0
Italy,523440000,1997,13620000
Netherlands,1418460000,1997,42420000
Portugal,221460000,1997,7860000
Spain,865440000,1997,19380000
Sweden,156600000,1997,5220000
Japan,3369300000,1997,55020000
Norway,223200000,1997,7440000
Switzerland,398100000,1997,7080000
United Kingdom,186120000,1997,6600000
United States of America,8984400000,1997,85680000
Unspecified EU stocks,9457860000,1997,93060000
Austria,306660000,1998,12600000
Cyprus,14520000,1998,540000
Denmark,160200000,1998,5340000
Finland,219120000,1998,9720000
France,843120000,1998,21000000
Germany,5179440000,1998,96000000
Ireland,6540000,1998,0
Italy,523440000,1998,14040000
Netherlands,1418460000,1998,42420000
Portugal,221460000,1998,6060000
Spain,865440000,1998,20640000
Sweden,156600000,1998,5220000
Japan,3369300000,1998,52980000
Norway,223200000,1998,7440000
Switzerland,398100000,1998,9900000
United Kingdom,186120000,1998,7680000
United States of America,8984400000,1998,84480000
Unspecified EU stocks,9457860000,1998,96180000
Austria,306660000,1999,11280000
Cyprus,14520000,1999,540000
Denmark,160200000,1999,5340000
Finland,219120000,1999,10620000
France,843120000,1999,18360000
Germany,5179440000,1999,132000000
Ireland,6540000,1999,0
Italy,523440000,1999,14100000
Netherlands,1418460000,1999,42420000
Portugal,221460000,1999,4920000
Spain,865440000,1999,22020000
Sweden,156600000,1999,5220000
Japan,3369300000,1999,69000000
Norway,223200000,1999,7440000
Switzerland,398100000,1999,8340000
United Kingdom,186120000,1999,6840000
United States of America,8984400000,1999,157620000
Unspecified EU stocks,9457860000,1999,115560000
Austria,306660000,2000,9720000
Cyprus,14520000,2000,600000
Denmark,160200000,2000,5340000
Finland,219120000,2000,6060000
France,843120000,2000,21060000
Germany,5179440000,2000,150000000
Ireland,6540000,2000,0
Italy,523440000,2000,14700000
Netherlands,1418460000,2000,42420000
Portugal,221460000,2000,7440000
Spain,865440000,2000,23460000
Sweden,156600000,2000,5220000
Japan,3369300000,2000,84000000
Norway,223200000,2000,7440000
Switzerland,398100000,2000,10260000
United Kingdom,186120000,2000,7920000
United States of America,8984400000,2000,335580000
Unspecified EU stocks,9457860000,2000,235020000
Austria,306660000,2001,8520000
Cyprus,14520000,2001,720000
Denmark,160200000,2001,5340000
Finland,219120000,2001,5400000
France,843120000,2001,35040000
Germany,5179440000,2001,171000000
Ireland,6540000,2001,0
Italy,523440000,2001,15180000
Netherlands,1418460000,2001,42420000
Portugal,221460000,2001,6360000
Spain,865440000,2001,25020000
Sweden,156600000,2001,5220000
Japan,3369300000,2001,82980000
Norway,223200000,2001,7440000
Switzerland,398100000,2001,13680000
United Kingdom,186120000,2001,12480000
United States of America,8984400000,2001,323880000
Unspecified EU stocks,9457860000,2001,358080000
Austria,306660000,2002,8100000
Cyprus,14520000,2002,780000
Denmark,160200000,2002,5340000
Finland,219120000,2002,4620000
France,843120000,2002,43140000
Germany,5179440000,2002,214800000
Ireland,6540000,2002,360000
Italy,523440000,2002,15180000
Netherlands,1418460000,2002,42420000
Portugal,221460000,2002,6660000
Spain,865440000,2002,26640000
Sweden,156600000,2002,5220000
Japan,3369300000,2002,103020000
Norway,223200000,2002,7440000
Switzerland,398100000,2002,10920000
United Kingdom,186120000,2002,8460000
United States of America,8984400000,2002,343200000
Unspecified EU stocks,9457860000,2002,359280000
Austria,306660000,2003,7860000
Cyprus,14520000,2003,780000
Denmark,160200000,2003,5340000
Finland,219120000,2003,5640000
France,843120000,2003,39000000
Germany,5179440000,2003,197400000
Ireland,6540000,2003,420000
Italy,523440000,2003,15900000
Netherlands,1418460000,2003,42420000
Portugal,221460000,2003,10680000
Spain,865440000,2003,28440000
Sweden,156600000,2003,5220000
Japan,3369300000,2003,103980000
Norway,223200000,2003,7440000
Switzerland,398100000,2003,13680000
United Kingdom,186120000,2003,8880000
United States of America,8984400000,2003,329400000
Unspecified EU stocks,9457860000,2003,384960000
Austria,306660000,2004,7800000
Cyprus,14520000,2004,360000
Denmark,160200000,2004,5340000
Finland,219120000,2004,4980000
France,843120000,2004,37260000
Germany,5179440000,2004,191400000
Ireland,6540000,2004,600000
Italy,523440000,2004,16140000
Netherlands,1418460000,2004,42420000
Portugal,221460000,2004,10200000
Spain,865440000,2004,30300000
Sweden,156600000,2004,5220000
Japan,3369300000,2004,106980000
Norway,223200000,2004,7440000
Switzerland,398100000,2004,13800000
United Kingdom,186120000,2004,10800000
United States of America,8984400000,2004,304500000
Unspecified EU stocks,9457860000,2004,419460000
Austria,306660000,2005,7740000
Cyprus,14520000,2005,420000
Denmark,160200000,2005,5340000
Finland,219120000,2005,4980000
France,843120000,2005,31200000
Germany,5179440000,2005,173100000
Ireland,6540000,2005,480000
Italy,523440000,2005,16680000
Netherlands,1418460000,2005,42420000
Portugal,221460000,2005,9000000
Spain,865440000,2005,24060000
Sweden,156600000,2005,5220000
Japan,3369300000,2005,120000000
Norway,223200000,2005,7440000
Switzerland,398100000,2005,12240000
United Kingdom,186120000,2005,2880000
United States of America,8984400000,2005,280020000
Unspecified EU stocks,9457860000,2005,460260000
Austria,306660000,2006,7560000
Cyprus,14520000,2006,480000
Denmark,160200000,2006,5340000
Finland,219120000,2006,4980000
France,843120000,2006,28560000
Germany,5179440000,2006,186060000
Ireland,6540000,2006,360000
Italy,523440000,2006,17640000
Netherlands,1418460000,2006,42420000
Portugal,221460000,2006,7800000
Spain,865440000,2006,27720000
Sweden,156600000,2006,5220000
Japan,3369300000,2006,139020000
Norway,223200000,2006,7440000
Switzerland,398100000,2006,9240000
United Kingdom,186120000,2006,5160000
United States of America,8984400000,2006,299220000
Unspecified EU stocks,9457860000,2006,336900000
Austria,306660000,2007,7680000
Cyprus,14520000,2007,480000
Denmark,160200000,2007,5340000
Finland,219120000,2007,4980000
France,843120000,2007,22080000
Germany,5179440000,2007,200460000
Ireland,6540000,2007,660000
Italy,523440000,2007,18840000
Netherlands,1418460000,2007,42420000
Portugal,221460000,2007,7200000
Spain,865440000,2007,37080000
Sweden,156600000,2007,5220000
Japan,3369300000,2007,121980000
Norway,223200000,2007,7440000
Switzerland,398100000,2007,8700000
United Kingdom,186120000,2007,3240000
United States of America,8984400000,2007,327960000
Unspecified EU stocks,9457860000,2007,425280000
Austria,306660000,2008,7740000
Cyprus,14520000,2008,480000
Denmark,160200000,2008,5340000
Finland,219120000,2008,4980000
France,843120000,2008,30240000
Germany,5179440000,2008,192660000
Ireland,6540000,2008,480000
Italy,523440000,2008,19020000
Netherlands,1418460000,2008,42420000
Portugal,221460000,2008,6600000
Spain,865440000,2008,33300000
Sweden,156600000,2008,5220000
Japan,3369300000,2008,111000000
Norway,223200000,2008,7440000
Switzerland,398100000,2008,5460000
United Kingdom,186120000,2008,3240000
United States of America,8984400000,2008,313800000
Unspecified EU stocks,9457860000,2008,470760000
Austria,306660000,2009,8280000
Cyprus,14520000,2009,300000
Denmark,160200000,2009,5340000
Finland,219120000,2009,4980000
France,843120000,2009,28980000
Germany,5179440000,2009,174660000
Ireland,6540000,2009,420000
Italy,523440000,2009,19020000
Netherlands,1418460000,2009,42420000
Portugal,221460000,2009,6000000
Spain,865440000,2009,34200000
Sweden,156600000,2009,5220000
Japan,3369300000,2009,100980000
Norway,223200000,2009,7440000
Switzerland,398100000,2009,9660000
United Kingdom,186120000,2009,4320000
United States of America,8984400000,2009,274200000
Unspecified EU stocks,9457860000,2009,588420000
Austria,306660000,2010,8460000
Cyprus,14520000,2010,300000
Denmark,160200000,2010,5340000
Finland,219120000,2010,4980000
France,843120000,2010,25620000
Germany,5179440000,2010,160800000
Ireland,6540000,2010,240000
Italy,523440000,2010,19560000
Netherlands,1418460000,2010,42420000
Portugal,221460000,2010,6060000
Spain,865440000,2010,34200000
Sweden,156600000,2010,5220000
Japan,3369300000,2010,105300000
Norway,223200000,2010,7440000
Switzerland,398100000,2010,9240000
United Kingdom,186120000,2010,2820000
United States of America,8984400000,2010,238440000
Unspecified EU stocks,9457860000,2010,399960000
Austria,306660000,2011,6660000
Cyprus,14520000,2011,360000
Denmark,160200000,2011,5340000
Finland,219120000,2011,4980000
France,843120000,2011,24840000
Germany,5179440000,2011,147720000
Ireland,6540000,2011,360000
Italy,523440000,2011,19740000
Netherlands,1418460000,2011,42420000
Portugal,221460000,2011,5400000
Spain,865440000,2011,34200000
Sweden,156600000,2011,5220000
Japan,3369300000,2011,132240000
Norway,223200000,2011,7440000
Switzerland,398100000,2011,12180000
United Kingdom,186120000,2011,2460000
United States of America,8984400000,2011,257700000
Unspecified EU stocks,9457860000,2011,409680000
Austria,306660000,2012,5820000
Cyprus,14520000,2012,240000
Denmark,160200000,2012,5340000
Finland,219120000,2012,4980000
France,843120000,2012,26760000
Germany,5179440000,2012,171540000
Ireland,6540000,2012,420000
Italy,523440000,2012,20760000
Netherlands,1418460000,2012,42420000
Portugal,221460000,2012,6600000
Spain,865440000,2012,34200000
Sweden,156600000,2012,5220000
Japan,3369300000,2012,121620000
Norway,223200000,2012,7440000
Switzerland,398100000,2012,12540000
United Kingdom,186120000,2012,2460000
United States of America,8984400000,2012,284160000
Unspecified EU stocks,9457860000,2012,366720000
Austria,306660000,2013,5520000
Cyprus,14520000,2013,420000
Denmark,160200000,2013,5340000
Finland,219120000,2013,4980000
France,843120000,2013,26280000
Germany,5179440000,2013,158160000
Ireland,6540000,2013,360000
Italy,523440000,2013,21120000
Netherlands,1418460000,2013,42420000
Portugal,221460000,2013,7200000
Spain,865440000,2013,50220000
Sweden,156600000,2013,5220000
Japan,3369300000,2013,172860000
Norway,223200000,2013,7440000
Switzerland,398100000,2013,12360000
United Kingdom,186120000,2013,2340000
United States of America,8984400000,2013,305220000
Unspecified EU stocks,9457860000,2013,320160000
Austria,306660000,2014,5760000
Cyprus,14520000,2014,720000
Denmark,160200000,2014,5340000
Finland,219120000,2014,4980000
France,843120000,2014,29940000
Germany,5179440000,2014,187200000
Ireland,6540000,2014,360000
Italy,523440000,2014,22260000
Netherlands,1418460000,2014,42420000
Portugal,221460000,2014,6000000
Spain,865440000,2014,38400000
Sweden,156600000,2014,5220000
Japan,3369300000,2014,176040000
Norway,223200000,2014,7440000
Switzerland,398100000,2014,12360000
United Kingdom,186120000,2014,2400000
United States of America,8984400000,2014,331500000
Unspecified EU stocks,9457860000,2014,450060000
Austria,306660000,2015,5760000
Cyprus,14520000,2015,360000
Denmark,160200000,2015,5340000
Finland,219120000,2015,4980000
France,843120000,2015,30420000
Germany,5179440000,2015,211140000
Ireland,6540000,2015,240000
Italy,523440000,2015,22200000
Netherlands,1418460000,2015,42420000
Portugal,221460000,2015,7740000
Spain,865440000,2015,38220000
Sweden,156600000,2015,5220000
Japan,3369300000,2015,191100000
Norway,223200000,2015,7440000
Switzerland,398100000,2015,13020000
United Kingdom,186120000,2015,2580000
United States of America,8984400000,2015,350160000
Unspecified EU stocks,9457860000,2015,447840000
Austria,306660000,2016,5400000
Cyprus,14520000,2016,120000
Denmark,160200000,2016,5340000
Finland,219120000,2016,4980000
France,843120000,2016,34320000
Germany,5179440000,2016,239460000
Ireland,6540000,2016,240000
Italy,523440000,2016,24180000
Netherlands,1418460000,2016,42420000
Portugal,221460000,2016,7740000
Spain,865440000,2016,44040000
Sweden,156600000,2016,5220000
Japan,3369300000,2016,193740000
Norway,223200000,2016,7440000
Switzerland,398100000,2016,13140000
United Kingdom,186120000,2016,1560000
United States of America,8984400000,2016,375360000
Unspecified EU stocks,9457860000,2016,417240000
Austria,306660000,2017,4800000
Cyprus,14520000,2017,180000
Denmark,160200000,2017,5340000
Finland,219120000,2017,4980000
France,843120000,2017,28500000
Germany,5179440000,2017,216060000
Ireland,6540000,2017,180000
Italy,523440000,2017,23760000
Netherlands,1418460000,2017,42420000
Portugal,221460000,2017,7740000
Spain,865440000,2017,43380000
Sweden,156600000,2017,5220000
Japan,3369300000,2017,181260000
Norway,223200000,2017,7440000
Switzerland,398100000,2017,22080000
United Kingdom,186120000,2017,1200000
United States of America,8984400000,2017,397920000
Unspecified EU stocks,9457860000,2017,422100000
Austria,306660000,2018,4800000
Cyprus,14520000,2018,300000
Denmark,160200000,2018,5340000
Finland,219120000,2018,4980000
France,843120000,2018,27840000
Germany,5179440000,2018,211080000
Ireland,6540000,2018,180000
Italy,523440000,2018,25260000
Netherlands,1418460000,2018,42420000
Portugal,221460000,2018,7740000
Spain,865440000,2018,42900000
Sweden,156600000,2018,5220000
Japan,3369300000,2018,156180000
Norway,223200000,2018,7440000
Switzerland,398100000,2018,20280000
United Kingdom,186120000,2018,1860000
United States of America,8984400000,2018,367980000
Unspecified EU stocks,9457860000,2018,485520000
Austria,306660000,2019,4800000
Cyprus,14520000,2019,0
Denmark,160200000,2019,5340000
Finland,219120000,2019,4980000
France,843120000,2019,27120000
Germany,5179440000,2019,208740000
Ireland,6540000,2019,180000
Italy,523440000,2019,25680000
Netherlands,1418460000,2019,42420000
Portugal,221460000,2019,7740000
Spain,865440000,2019,40200000
Sweden,156600000,2019,5220000
Japan,3369300000,2019,176040000
Norway,223200000,2019,7440000
Switzerland,398100000,2019,22740000
United Kingdom,186120000,2019,2160000
United States of America,8984400000,2019,410100000
Unspecified EU stocks,9457860000,2019,536100000
